高频词,出现频率
哈哈哈,0.43792479620611563
哈哈哈哈,0.17007570199282007
77,0.11969449550216646
桌游,0.10414704295750708
老师,0.08360375031155892
小曲,0.07786160997735907
狮子,0.07687151126811247
熊卡,0.07170926768678783
07,0.048999840841325686
游戏,0.047087854865998875
哈哈,0.04177067173089414
豆子,0.04099905154202687
玩赖,0.04022642232284228
这个,0.03836178146774173
老板娘,0.03487559796343548
美少女,0.03380003075513669
恶心,0.031552091213234386
不是,0.029421053862286824
好玩,0.023976081871349298
硬核,0.02386934874314442
